id,Points,assessment
1,12,Essay
2,16,Essay
3,15,Essay
4,NA,Essay
5,14,Essay
6,NA,Essay
7,8,Essay
8,NA,Essay
9,16,Essay
10,14,Essay
11,NA,Essay
12,17,Essay
13,NA,Essay
14,14,Essay
15,18,Essay
16,16,Essay
17,NA,Essay
18,NA,Essay
19,NA,Essay
20,NA,Essay
21,14,Essay
22,11,Essay
23,16,Essay
24,10,Essay
25,14,Essay
26,15,Essay
27,12,Essay
28,17,Essay
29,12,Essay
30,NA,Essay
31,13,Essay
32,17,Essay
33,14,Essay
34,15,Essay
35,NA,Essay
36,12,Essay
37,NA,Essay
38,11,Essay
39,NA,Essay
40,17,Essay
41,15,Essay
42,15,Essay
43,12,Essay
44,17,Essay
45,14,Essay
46,14,Essay
47,19,Essay
48,12,Essay
49,10,Essay
50,13,Essay
51,14,Essay
52,14,Essay
53,10,Essay
54,11,Essay
55,NA,Essay
56,15,Essay
57,12,Essay
58,15,Essay
59,15,Essay
60,17,Essay
61,NA,Essay
62,9,Essay
63,14,Essay
64,NA,Essay
65,16,Essay
66,13,Essay
67,17,Essay
68,13,Essay
69,NA,Essay
70,13,Essay
71,NA,Essay
72,12,Essay
73,12,Essay
74,NA,Essay
75,11,Essay
76,15,Essay
77,18,Essay
78,16,Essay
79,15,Essay
80,NA,Essay
81,18,Essay
82,15,Essay
83,10,Essay
84,14,Essay
85,NA,Essay
86,NA,Essay
87,10,Essay
88,NA,Essay
89,16,Essay
90,13,Essay
91,11,Essay
92,12,Essay
93,13,Essay
94,7,Essay
95,12,Essay
96,18,Essay
97,11,Essay
98,16,Essay
99,10,Essay
100,11,Essay
