assessment,id,Points
Exam,1a,NA
Exam,2b,16
Exam,3c,12
Exam,4d,15
Exam,5e,16
Exam,6e,NA
Exam,7f,16
Exam,8a,13
Exam,9b,15
Exam,10c,NA
Exam,11d,19
Exam,12e,NA
Exam,13e,16
Exam,14f,18
Exam,15a,NA
Exam,16b,18
Exam,17c,16
Exam,18d,13
Exam,19e,16
Exam,20e,13
Exam,21f,14
Exam,22a,NA
Exam,23b,16
Exam,24c,NA
Exam,25d,16
Exam,26e,16
Exam,27e,NA
Exam,28f,20
Exam,29a,19
Exam,30b,12
Exam,31c,17
Exam,32d,16
Exam,33e,13
Exam,34e,17
Exam,35f,16
Exam,36a,15
Exam,37b,12
Exam,38c,10
Exam,39d,NA
Exam,40e,17
Exam,41e,16
Exam,42f,15
Exam,43a,14
Exam,44b,19
Exam,45c,13
Exam,46d,16
Exam,47e,16
Exam,48e,19
Exam,49f,NA
Exam,50a,16
Exam,51b,16
Exam,52c,17
Exam,53d,14
Exam,54e,18
Exam,55e,14
Exam,56f,15
Exam,57a,18
Exam,58b,21
Exam,59c,13
Exam,60d,17
Exam,61e,11
Exam,62e,16
Exam,63f,16
Exam,64a,13
Exam,65b,21
Exam,66c,NA
Exam,67d,NA
Exam,68e,15
Exam,69e,19
Exam,70f,13
Exam,71a,14
Exam,72b,13
Exam,73c,13
Exam,74d,16
Exam,75e,16
Exam,76e,NA
Exam,77f,14
Exam,78a,22
Exam,79b,16
Exam,80c,14
Exam,81d,16
Exam,82e,15
Exam,83e,17
Exam,84f,NA
Exam,85a,15
Exam,86b,18
Exam,87c,18
Exam,88d,17
Exam,89e,NA
Exam,90e,17
Exam,91f,17
Exam,92a,NA
Exam,93b,NA
Exam,94c,13
Exam,95d,19
Exam,96e,12
Exam,97e,14
Exam,98f,14
Exam,99a,17
Exam,100b,17
