id,repeat,q1,q2,q3,q4,q5
1,yes,3,5,4,3,5
2,yes,5,3,4,5,1
3,yes,4,1,1,4,1
4,yes,1,5,3,3,3
5,yes,1,5,1,4,3
6,yes,1,2,4,5,3
7,yes,4,3,1,3,4
8,yes,5,1,5,1,2
9,yes,2,4,1,1,3
10,yes,4,4,2,2,3
11,yes,4,4,1,1,1
12,yes,1,1,4,4,3
13,yes,3,4,4,5,4
14,yes,4,3,3,4,5
15,yes,4,5,2,3,3
16,yes,4,1,5,4,3
17,yes,4,3,2,2,5
18,yes,3,5,5,5,5
19,yes,1,1,5,3,2
20,yes,1,4,2,2,1
21,yes,1,2,5,1,3
22,yes,5,1,5,4,3
23,yes,3,2,5,1,4
24,yes,2,5,3,4,3
25,yes,4,2,3,3,2
26,no,4,3,5,3,4
27,no,4,3,4,3,5
28,no,5,3,4,4,4
29,no,5,4,3,4,3
30,no,5,5,5,3,3
31,no,3,4,4,5,3
32,no,3,4,4,4,3
33,no,3,5,4,4,3
34,no,5,5,4,5,3
35,no,5,3,4,4,4
36,no,4,4,3,5,4
37,no,4,3,5,5,4
38,no,5,5,3,5,5
39,no,5,5,4,4,5
40,no,4,5,5,3,5
41,no,5,3,3,3,5
42,no,5,5,4,5,3
43,no,4,3,5,4,3
44,no,5,3,5,3,5
45,no,3,5,4,3,5
46,no,5,4,3,3,4
47,no,3,4,3,5,5
48,no,4,3,4,3,3
49,no,4,5,5,3,4
50,no,4,4,4,4,3
