id,repeat_patient,q1_sat,q2_sat,q3_sat,q4_sat,q5_sat,q1_rec,q2_rec,q3_rec,q4_rec,q5_rec
1,yes,2,1,2,2,2,3,3,4,4,5
2,yes,2,2,5,2,2,5,4,3,3,5
3,yes,5,5,1,1,1,4,5,5,5,5
4,yes,1,4,1,2,2,5,3,5,4,5
5,yes,5,2,3,2,1,4,4,3,4,5
6,yes,3,5,4,1,2,4,4,3,3,5
7,yes,3,2,2,2,3,5,3,5,5,5
8,yes,2,5,5,5,3,3,4,5,3,5
9,yes,3,5,4,3,5,3,5,4,5,4
10,yes,1,4,5,3,3,4,3,4,4,4
11,yes,3,1,1,3,5,4,5,3,4,3
12,yes,5,4,3,2,3,4,5,3,5,3
13,yes,2,5,1,4,5,5,3,4,3,4
14,yes,3,3,2,1,4,3,3,3,1,2
15,yes,5,4,3,1,4,2,1,1,3,1
16,yes,5,3,3,4,1,1,2,3,3,2
17,yes,3,4,2,1,5,1,1,3,1,3
18,yes,5,1,3,5,5,3,1,3,1,2
19,yes,1,4,3,5,2,2,1,3,3,1
20,yes,3,5,5,5,3,1,1,3,3,1
21,yes,1,5,1,1,3,3,2,2,2,3
22,yes,3,3,5,1,2,4,4,5,3,3
23,yes,5,5,2,4,3,5,4,5,3,4
24,yes,5,3,5,5,2,3,5,4,5,4
25,yes,3,2,5,5,3,4,3,5,4,3
26,no,4,3,5,4,4,4,4,3,2,4
27,no,4,3,3,4,4,2,1,2,1,2
28,no,5,3,5,3,3,3,1,4,3,3
29,no,5,4,4,3,3,5,3,4,1,2
30,no,3,3,3,5,5,2,4,1,1,5
31,no,5,3,5,5,5,1,3,4,4,5
32,no,5,3,5,5,4,4,4,5,2,4
33,no,4,5,5,4,4,1,1,1,3,4
34,no,4,3,4,4,4,5,4,2,1,2
35,no,4,4,3,4,4,5,3,3,1,1
36,no,3,5,5,4,5,4,4,1,5,5
37,no,4,4,4,4,4,2,2,4,3,4
38,no,5,3,3,5,5,2,4,4,3,2
39,no,5,4,4,3,3,3,2,1,5,4
40,no,5,3,4,4,4,2,3,3,3,5
41,no,4,4,5,4,4,2,4,5,4,2
42,no,4,3,5,4,4,3,3,3,1,3
43,no,4,3,5,3,4,2,4,1,3,1
44,no,4,5,5,3,4,2,4,3,5,3
45,no,3,5,4,5,5,3,5,5,1,5
46,no,5,3,3,5,3,5,5,1,3,2
47,no,4,3,5,5,5,5,2,2,1,4
48,no,5,5,5,3,3,3,3,3,5,1
49,no,4,3,3,4,3,1,1,4,4,4
50,no,4,4,5,4,3,3,4,1,1,5
